City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Kaitangata,NZ,-46.28,169.85,52.0,70,99,3.0,overcast clouds
83,Iranshahr,IR,27.2,60.68,56.03,31,0,2.51,clear sky
84,Soyo,AO,-6.13,12.37,76.95,85,98,7.87,overcast clouds
85,Norman Wells,CA,65.28,-126.83,23.0,92,75,4.7,broken clouds
86,Broome,US,42.25,-75.83,46.99,45,90,3.51,overcast clouds
87,La Asuncion,VE,11.03,-63.86,81.59,81,0,17.76,clear sky
88,Vaini,TO,-21.2,-175.2,75.2,88,75,12.75,broken clouds
89,Lasa,IT,46.62,10.7,54.0,93,90,8.05,overcast clouds
90,Pevek,RU,69.7,170.31,25.65,98,100,7.72,light snow
91,Iqaluit,CA,63.75,-68.51,12.2,85,75,5.82,light snow
92,Chuy,UY,-33.7,-53.46,66.87,89,100,14.9,moderate rain
93,Popondetta,PG,-8.75,148.25,87.24,61,85,0.74,light rain
94,Ushuaia,AR,-54.8,-68.3,53.6,46,20,6.93,few clouds
95,Nishihara,JP,26.18,127.76,73.4,77,40,4.7,scattered clouds
96,Pierre,US,44.37,-100.35,19.99,67,75,11.41,broken clouds
97,Shingu,JP,33.73,135.98,59.0,62,40,4.7,scattered clouds
98,Preston,GB,53.77,-2.72,43.0,90,2,10.02,clear sky
99,Thinadhoo,MV,0.53,72.93,82.85,71,6,7.94,clear sky
100,Suntar,RU,62.14,117.63,21.51,96,100,11.59,light snow
101,Saint George,US,37.1,-113.58,60.8,31,73,28.86,haze
102,Pouebo,NC,-20.4,164.57,79.32,63,7,11.79,clear sky
103,Pitimbu,BR,-7.47,-34.81,78.8,83,0,6.93,clear sky
104,Souillac,MU,-20.52,57.52,71.6,88,75,9.17,shower rain
105,Hami,CN,42.8,93.45,38.05,67,23,3.15,few clouds
106,Dikson,RU,73.51,80.55,19.15,98,100,12.57,light snow
107,Uporovo,RU,56.31,66.27,36.46,96,100,2.04,overcast clouds
