City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Namatanai,PG,82.44,moderate rain,-3.67,152.43,Namatanai Hotel
314,Dicabisagan,PH,80.98,light rain,17.08,122.42,Nancy Montanes Bernardo
316,Hambantota,LK,78.24,overcast clouds,6.12,81.12,Bungalow 63
324,Auki,SB,86.23,overcast clouds,-8.77,160.7,Auki Motel
327,Kupang,ID,78.8,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
331,George Town,MY,78.8,light rain,5.41,100.34,Cititel Penang
333,Meulaboh,ID,75.45,light rain,4.14,96.13,Kost Pria
334,Luganville,VU,82.4,broken clouds,-15.53,167.17,The Espiritu Hotel
335,Olinda,BR,80.6,few clouds,-8.01,-34.86,Hotel 5 Sóis
337,Dabakala,CI,77.14,broken clouds,8.37,-4.43,Hôtel Campement
343,Altamira,BR,82.49,clear sky,-3.2,-52.21,Requinte Hotel
344,Hobyo,SO,79.18,clear sky,5.35,48.53,Osmani Hotel
350,Kokopo,PG,84.85,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
353,Itarema,BR,80.01,scattered clouds,-2.92,-39.92,Windvillage
354,Lorengau,PG,84.4,light rain,-2.02,147.27,Lorengau Harbourside Hotel
356,Guadalupe Victoria,MX,80.01,dust,32.29,-115.11,CAPITAL O Hotel Dial
357,Akyab,MM,78.31,clear sky,20.15,92.9,Hotel Memory
363,Hervey Bay,AU,82.0,scattered clouds,-25.3,152.85,Shelly Bay Resort
365,Jose Bonifacio,BR,80.53,broken clouds,-21.05,-49.69,HOTEL DOS VIAJANTES
366,Sal Rei,CV,80.6,broken clouds,16.18,-22.92,Marine Club Beach Resort
368,Kavieng,PG,82.96,moderate rain,-2.57,150.8,Nusa Island Retreat
370,Kintampo,GH,76.73,few clouds,8.06,-1.73,Adomaa Memorial Hotel
373,Sola,VU,77.0,light intensity shower rain,-13.88,167.55,Ulkel Guest House
375,Kutiyana,IN,78.87,clear sky,21.62,69.98,દેવંગી પાન
377,Boyolangu,ID,77.13,light rain,-8.12,111.89,Yos ega cv
383,Alofi,NU,77.0,overcast clouds,-19.06,-169.92,Taloa Heights
387,Mareeba,AU,86.0,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
388,Coolum Beach,AU,81.0,few clouds,-26.53,153.1,Palmer Coolum Resort
390,Cabo San Lucas,MX,89.01,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
392,Dwarka,IN,81.32,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
396,Hermosillo,MX,88.0,scattered clouds,29.07,-110.97,Hotel San Andrés
397,Natal,BR,78.8,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
404,Emerald,AU,75.0,scattered clouds,-23.53,148.17,The Irish Village
